,rank,name,year,Douban_rating,country,genres,budget,revenue,keywords,MLens_rating
200,201,Crazy Stone,2006,8.4,CN,Action/Comedy,0,0,,4.469993781094527
201,202,Terminator 2: Judgment Day,1991,8.7,US,Action/Thriller/Science Fiction,102000000,520000000,cyborg/shotgun/post-apocalyptic/dystopia/moral ambiguity/mental institution/violence/fictional war/morphing/nuclear weapons/shape shifter/savior/catch phrase,4.469993781094527
202,203,Days of Being Wild,1990,8.5,HK,Crime/Drama/Romance,0,141864,fight/radio/rain/underwear/kiss/philippines/beating/prostitution/drink/sailor,4.469993781094527
203,204,Perfume: The Story of a Murderer,2006,8.5,ES,Crime/Fantasy/Drama,50000000,132180323,"paris, france/prostitute/small town/obsession/orgy/bad smell/lone wolf/lavender/nose/child prodigy/fish market/daughter/supernatural/genius/children's home/murder/death/perfume",4.469993781094527
204,205,Mountain Patrol,2004,8.7,CN,Action/Drama,1200000,0,mountain/rabbit hunting,4.469993781094527
205,206,A Brighter Summer Day,1991,8.8,TW,Crime/Drama/Romance,0,0,baseball bat/elvis presley/high school/taiwan/murder/coming of age/gang/youth gang/juvenile delinquent/teenage boy/troubled teen/first love/taipei/1960s/filming/inspired by true events/slow cinema/teenage protagonist,4.469993781094527
206,207,A Little Thing Called Love,2010,8.4,TH,Comedy/Romance,0,0,,4.469993781094527
207,208,New World,2013,8.8,KR,Thriller,0,0,gangster/undercover cop/gang warfare/criminal gang/neo-noir,4.469993781094527
208,209,The Bourne Supremacy,2004,8.6,DE,Action/Drama/Thriller,75000000,288500217,berlin germany/assassin/based on novel or book/amnesia/sniper/lie/sequel/on the run/shootout/espionage/violence/foot chase/car chase/exploding house/one against many/rail car/dark past/moscow/hand to hand combat,4.469993781094527
209,210,The Bourne Identity,2002,8.6,US,Action/Drama/Mystery/Thriller,60000000,214034224,"paris, france/barcelona spain/assassin/based on novel or book/secret identity/amnesia/sniper/passport/mission of murder/lovers/flashback/escape/shootout/foot chase/cell phone/car chase/multiple identities/surveillance camera/hamburg germany/fishing boat/langley virginia/safe deposit box/hand to hand combat",4.469993781094527
210,211,Life is Fruity,2017,9.6,,Documentary,0,0,japan/nature,4.469993781094527
211,212,Lord of War,2005,8.6,FR,Crime/Drama/Thriller,50000000,72617068,cold war/weapon/arms dealer,4.469993781094527
212,213,2001: A Space Odyssey,1968,8.8,GB,Science Fiction/Mystery/Adventure,12000000,68700000,moon/jupiter/artificial intelligence/man vs machine/technology/super computer/human being/space travel/space mission/moon base/astronaut/cult film/evolution/monolith/space station/2000s,4.469993781094527
213,214,Like Stars on Earth,2007,8.9,IN,Drama,2600000,28430000,painter/jealousy/parent child relationship/father/boarding school/dyslexia/little boy/teacher/india/childhood/teachers and students,4.469993781094527
214,215,Before Midnight,2013,8.8,GR,Romance/Drama,3000000,11176469,hotel/airport/hotel room/greece/dream/greek/friends/author/writer/summer vacation/twins,4.469993781094527
215,216,The Wave,2008,8.7,DE,Drama/Thriller,7500000,19000000,dictator/trainer/classroom/experiment/fascism/group dynamics/education/national socialism/training/squatter/anarchist/group/gymnasium/high school/learning and teaching/violence in schools/homepage/high school teacher/water polo/autocracy,4.469993781094527
216,217,Green Snake,1993,8.5,HK,Action/Fantasy/Romance,0,0,,4.469993781094527
217,218,The Reader,2008,8.5,DE,Drama/Romance,32000000,113019290,germany/based on novel or book/war crimes/trial/female prisoner/teenager/law student/teenage sexuality/older woman younger man relationship/affair,4.469993781094527
218,219,New Dragon Gate Inn,1992,8.6,HK,Action,0,0,swordplay/wuxia,4.469993781094527
219,220,Inglourious Basterds,2009,8.5,DE,Drama/Action/Thriller/War,70000000,319131050,"paris, france/guerrilla/cinema/self sacrifice/dynamite/mexican standoff/world war ii/jew persecution/jew/nazi/masochism/sadism/anti semitism/swastika/german occupation of france/violence/british politics/hitler/adolf hitler",4.469993781094527
220,221,Source Code,2011,8.4,CA,Thriller/Science Fiction/Mystery,32000000,147332697,bomb/identity/bomber/suspicion/time travel/investigation/surrealism/soldier/helicopter pilot,4.469993781094527
221,222,Still Walking,2008,8.8,JP,Drama/Family,0,0,bereavement/family relationships/family reunion/family gathering,4.469993781094527
222,223,The Green Mile,1999,8.8,US,Fantasy/Drama/Crime,60000000,286801374,southern usa/mentally disabled/based on novel or book/death row/jail guard/great depression/supernatural/prison guard/jail/electric chair/magic realism/healing/1930s,4.469993781094527
223,224,Bajrangi Bhaijaan,2015,8.4,IN,Action/Comedy/Drama,13000000,150000000,,4.469993781094527
224,225,Begin Again,2013,8.5,US,Comedy/Music/Romance/Drama,8000000,63464861,new york/music/music band/music recording/female singer/singer-songwriter/street musician/recording session/street singer,4.469993781094527
225,226,Harry Potter and the Prisoner of Azkaban,2004,8.5,GB,Adventure/Fantasy,130000000,789804554,flying/traitor/magic/child hero/broom/school of witchcraft/black magic/time travel/best friend/werewolf/muggle/aftercreditsstinger/based on young adult novel/wizarding world,4.469993781094527
226,227,Blood Diamond,2006,8.6,DE,Drama/Thriller/Action,100000000,170877916,africa/rebel/loss of loved one/journalist/journalism/slavery/mercenary/diamond mine/sierra leone/bootlegger/fisherman/special unit/smuggling/rwandan genocide/oppression/1990s/private military company,4.469993781094527
227,228,Them That Follow,1998,8.9,US,Horror/Drama,0,0,pastor/snake/appalachia/pentecostalism,4.469993781094527
228,229,Coherence,2013,8.5,US,Thriller/Science Fiction,0,102617,clone/paranoia/comet/alter ego/reunion/power outage/candle/parallel world/alternate reality/dinner party/ketamine/quantum physics/friend/broken cellphone/glowstick,4.469993781094527
229,230,City Lights,1931,9.3,US,Comedy/Drama/Romance,1500000,19181,suicide attempt/operation/blindness and impaired vision/love of one's life/eye operation/flower shop/flower girl/tramp/love/black and white/millionaire/silent film/blind girl/little tramp,4.469993781094527
230,231,A Separation,2011,8.7,IR,Drama,500000,24426169,emigration/alzheimer's disease/class/money/maid/divorce/iran/caregiver/marital separation/iranian/tehran,4.469993781094527
231,232,Mad Max: Fury Road,2015,8.6,AU,Action/Adventure/Science Fiction,150000000,378858340,future/chase/post-apocalyptic/dystopia/australia/rescue/survival/on the run/convoy/peak oil/dark future,4.469993781094527
